No,取引日,借方勘定科目,借方補助科目,借方部門,借方取引先,借方税区分,借方インボイス,借方金額(円),借方税額,貸方勘定科目,貸方補助科目,貸方部門,貸方取引先,貸方税区分,貸方インボイス,貸方金額(円),貸方税額,摘要,仕訳メモ,タグ,MF仕訳タイプ,決算整理仕訳,作成日時,作成者,最終更新日時,最終更新者
1,2026/04/29,会議費,,,BUNCA CAFE,課税仕入 10%,,2030,185,役員借入,zakk,,,対象外,,2030,0,BUNCA CAFE利用分,,,,,,,,
2,2026/04/29,消耗品費,,,Amazon,課税仕入 10%,,1552,141,役員借入,zakk,,,対象外,,1552,0,ジュプランサ　KINTSUGI資材,,,,,,,,
3,2026/04/30,会議費,,,townsfolk coffee,課税仕入 10%,,620,56,役員借入,zakk,,,対象外,,620,0,townsfolk coffee利用分,,,,,,,,
4,2026/05/01,会議費,,,PIT 21 CAFE,課税仕入 10%,,1250,114,役員借入,zakk,,,対象外,,1250,0,PIT 21 CAFE利用分,,,,,,,,
5,2026/05/08,駐車料金,,,パークステーション尾張町１丁目,課税仕入 10%,,400,36,役員借入,zakk,,,対象外,,400,0,パークステーション尾張町１丁目利用分,,,,,,,,
6,2026/05/11,会議費,,,STARBUCKS エキュート大宮ノース店,課税仕入 10%,,451,41,役員借入,zakk,,,対象外,,451,0,STARBUCKS エキュート大宮ノース店利用分,,,,,,,,
7,2026/05/11,外注委託費,工事委託,,株式会社宝来組,課税仕入 10%,,77000,7000,役員借入,zakk,,,対象外,,77000,0,宝来社 ジュプランサショーケース,,,,,,,,
8,2026/05/12,車両費,,,KYGNUS セルフ北星FIVE,課税仕入 10%,,4511,410,役員借入,zakk,,,対象外,,4511,0,KYGNUS セルフ北星FIVE利用分,,,,,,,,
9,2026/05/15,飲食費,,,にしはなれ ばんや,課税仕入 10%,,10630,966,役員借入,zakk,,,対象外,,10630,0,にしはなれ ばんや利用分,,,,,,,,
10,2026/05/17,外注委託費,サービス利用料,,WIX,課税仕入 10%,,27720,2520,役員借入,zakk,,,対象外,,27720,0,ジュプランサホームページサーバー,,,,,,,,
11,2026/05/18,外注委託費,印刷費,,株式会社グラフィックファクトリー,課税仕入 10%,,4440,404,役員借入,zakk,,,対象外,,4440,0,小松ウォールアイティ 名刺印刷,,,,,,,,
12,2026/05/20,会議費,,,BUNCA CAFE,課税仕入 10%,,1380,125,役員借入,zakk,,,対象外,,1380,0,BUNCA CAFE利用分,,,,,,,,
13,2026/05/20,外注委託費,印刷費,,株式会社グラフィックネットワークプリント,課税仕入 10%,,2090,190,役員借入,zakk,,,対象外,,2090,0,SANEI R.E.,,,,,,,,
14,2026/05/20,車両費,miks駐車場費,,Park Direct,課税仕入 10%,,15119,1374,役員借入,zakk,,,対象外,,15119,0,miks 駐車場　6月分,,,,,,,,
15,2026/05/20,会議費,,,BUNCA CAFE,課税仕入 10%,,1380,125,役員借入,zakk,,,対象外,,1380,0,BUNCA CAFE利用分,,,,,,,,
16,2026/05/21,会議費,,,PIT 21 CAFE,課税仕入 10%,,580,53,役員借入,zakk,,,対象外,,580,0,PIT 21 CAFE利用分,,,,,,,,
17,2026/05/21,外注委託費,,,グラフィック,課税仕入 10%,,6260,569,役員借入,zakk,,,対象外,,6260,0,GOOD FOR LIFE リーフレット,,,,,,,,
18,2026/05/24,旅費交通費,,,東日本旅客鉄道株式会社,課税仕入 10%,,12960,1178,役員借入,zakk,,,対象外,,12960,0,ArchTank 撮影　金沢→東京,,,,,,,,
