No,取引日,借方勘定科目,借方補助科目,借方部門,借方取引先,借方税区分,借方インボイス,借方金額(円),借方税額,貸方勘定科目,貸方補助科目,貸方部門,貸方取引先,貸方税区分,貸方インボイス,貸方金額(円),貸方税額,摘要,仕訳メモ,タグ,MF仕訳タイプ,決算整理仕訳,作成日時,作成者,最終更新日時,最終更新者
1,2026/06/17,新聞図書費,,,,課税仕入 10%,,1056,96,役員借入金,zakk,,,対象外,,1056,0,ヒラク　本（doke）,,,,,,,,
2,2026/06/17,源泉所得税及び復興特別所得税,,,,課税仕入 10%,,29943,2722,役員借入金,zakk,,,対象外,,29943,0,法人税,,,,,,,,
3,2026/06/18,備品・消耗品費,,,,課税仕入 10%,,2750,250,役員借入金,zakk,,,対象外,,2750,0,PCケース,,,,,,,,
4,2026/06/18,備品・消耗品費,,,,課税仕入 10%,,1273,116,役員借入金,zakk,,,対象外,,1273,0,コンセント類,,,,,,,,
5,2026/06/19,備品・消耗品費,,,,課税仕入 10%,,9980,907,役員借入金,zakk,,,対象外,,9980,0,CIO ケーブル等,,,,,,,,
6,2026/06/19,備品・消耗品費,,,,課税仕入 10%,,3802,346,役員借入金,zakk,,,対象外,,3802,0,CIO ケーブル等,,,,,,,,
7,2026/06/23,外注委託費,印刷外注費,,,課税仕入 10%,,15584,1417,役員借入金,zakk,,,対象外,,15584,0,vinamoure 名刺印刷,,,,,,,,
8,2026/06/23,車両費,miks駐車場費,,,課税仕入 10%,,15119,1374,役員借入金,zakk,,,対象外,,15119,0,Park Direct利用分 7月,,,,,,,,
9,2026/06/25,備品・消耗品費,,,,課税仕入 10%,,2480,225,役員借入金,zakk,,,対象外,,2480,0,CIO ケーブル,,,,,,,,
10,2026/06/29,外注委託費,印刷外注費,,,課税仕入 10%,,8310,755,役員借入金,zakk,,,対象外,,8310,0,Linnas リーフレット印刷,,,,,,,,
